id,species,sex,location,snout_vent_length_mm,tail_length_mm,fore_limb_length_mm,fore_toe_length_mm,hind_limb_length_mm,hind_toe_length_mm,perch_height_cm,perch_circumference_cm,temperature_degreesC,season
P012_3,bimaculatus,male,Bohol,63,123,33,10.19,39.25,15.06,230,62,25.3,spring
P012_6,bimaculatus,male,Bohol,68,123,33.57,10.11,38.57,15.07,600,60,26.1,spring
P012_7,bimaculatus,male,Bohol,68,130,33.26,11.63,40.86,15.94,580,190,29.3,spring
P012_9,bimaculatus,male,Bohol,68,148,33.01,10.43,39.92,14.83,365,64,25.6,spring
P012_11,bimaculatus,male,Bohol,60,111,31.02,11.57,37.85,13.75,364,52,27.4,spring
P012_12,bimaculatus,male,Bohol,67,128,36.26,12.11,39.78,15.05,158,150,28.1,spring
P012_13,bimaculatus,male,Bohol,64,75,34.03,10.7,41.31,13.76,180,225,25.6,spring
P012_15,bimaculatus,male,Bohol,66,122,32.06,12.25,40.04,15.01,130,88,25.7,spring
P012_17,bimaculatus,male,Bohol,61,116,29.28,9.61,36.53,13.54,164,108,26.1,spring
P012_22,bimaculatus,male,Bohol,65,104,31.34,11.65,37.72,14.33,330,70,24.9,spring
P012_23,bimaculatus,male,Bohol,62,120,32.89,13.15,39.94,15.31,137,82,25.1,spring
P012_BT2,bimaculatus,male,Bohol,77,112,25.68,11.26,31.2,14.2,400,58,,spring
P012_BT3,bimaculatus,male,Bohol,79,110,26.74,8.81,32.68,13.87,580,76,,spring
P012_BT4,bimaculatus,male,Bohol,67,100,22.9,8.54,28.7,12.51,530,140,,spring
P012_BT5,bimaculatus,male,Bohol,75,112,24.28,9.17,28.14,12.16,530,87,,spring
P012_BT6,bimaculatus,male,Bohol,75,111,29.88,8.44,31.5,12.65,830,71,,spring
P012_BT7,bimaculatus,male,Bohol,71,102,27.75,8.34,27.33,11.79,540,191,,summer
P012_BT8,bimaculatus,male,Bohol,71,102,27.75,8.34,27.33,11.79,460,165,,summer
P012_BT9,bimaculatus,male,Bohol,84,114,28.28,11.03,37.57,13.53,155,106,,summer
P012_BD1,bimaculatus,male,Bohol,86,128,31.97,11.02,35.51,12.51,470,84,,summer
P012_BD2,bimaculatus,male,Bohol,75,110,27.67,10.46,31.53,12.15,285,50,,summer
P012_BD3,bimaculatus,male,Bohol,75,114,27.23,10.67,31.68,12.39,253,220,,summer
P012_BD4,bimaculatus,male,Bohol,76,109,26.35,10.84,32.66,14.03,335,66,,summer
P012_BD5,bimaculatus,male,Bohol,82,121,31.76,10.94,34.39,13.47,810,110,,summer
P012_BD7,bimaculatus,male,Bohol,76,114,27.38,10.29,29.44,12.83,400,128,,summer
P012_BD8,bimaculatus,male,Bohol,77,120,28.62,11.58,35.09,14.55,290,76,,summer
P012_BD9,bimaculatus,male,Bohol,84,117,29.58,10.59,35.32,13.16,230,62,,summer
P012_BD11,bimaculatus,male,Bohol,69,105,23.98,8.66,28.12,12.75,270,40,,summer
P012_BT11,bimaculatus,male,Bohol,82,117,28.05,11.79,31.7,14.02,400,58,,summer
P012_BT12,bimaculatus,male,Bohol,74,105,22.11,9.41,27.4,12.46,420,161,,summer
P012_BT13,bimaculatus,male,Bohol,75,115,23.74,9.93,30.91,11.07,337,69,,summer
