Logger Number,Shelter Number,Lizard Number,Date In,Time In,Date Out,Time out,Logger Depth,UTM East,UTM North,EPE(m),Roof,Floor,Azimuth,Width,Height,Depth,Shelter Type,Treatment,Month
-7806,B1,C-18,4/14/20,10:34,4/17/20,11:37,48,643330,4003455,5,5,1.5,196,20,4,130,SC,Actual,April
-3415,B1,C-18,4/14/20,11:15,4/17/20,11:39,20,643294,4003463,3,5,5,216,56,11,60,RS,Random,April
-7805,B1,C-18,4/14/20,11:09,4/17/20,11:47,46,643268,4003457,3,5,1.5,155,29,7,83,SC,Potential,April
-7806,B103,C-3,7/23/20,8:43,7/28/20,7:07,84,640996,4002958,3,5,2,197,39,5,84,RS,Actual,July
-7810,B103,C-3,7/23/20,9:05,7/28/20,7:07,50,640996,4002964,3,5,1,172,20,11,50,RS,Random,July
-3415,B103,C-3,7/23/20,9:25,7/28/20,7:04,84,640995,4002933,3,5,1.5,210,32,8,92,RS,Potential,July
-7806,B104,C-25,7/18/20,7:13,7/22/20,9:11,86,643334,4003314,3,5,1.5,107,38,10.5,86,RS,Actual,July
-7810,B104,C-25,7/18/20,6:40,7/22/20,9:11,69,643747,4003374,3,5,1.5,118,25,7,70,RS,Random,July
-7805,B104,C-25,7/18/20,6:56,7/22/20,9:36,86,643603,4003400,3,5,2,121,38,10.5,86,RS,Potential,July
-7804,B11,C-13,4/21/20,12:07,4/24/20,13:35,73,642618,4002945,3,5,1.5,150,20,13,73,SC,Actual,April
-7649,B11,C-13,4/21/20,12:20,4/24/20,13:30,70,642643,4002949,4,5,4.5,187,11,38,71,RS,Random,April
-7810,B11,C-13,4/21/20,12:13,4/24/20,13:27,64,642623,4002944,3,5,1.5,166,14,13,64,SC,Potential,April
-3415,B110,C-9,7/17/20,7:44,7/21/20,7:04,106,641098,4004228,3,5,2.5,242,27,11,106,RS,Actual,July
-7651,B110,C-9,7/17/20,7:48,7/21/20,7:06,26,641095,4004244,3,5,1,255,17,13,26,LC,Random,July
-3416,B110,C-9,7/17/20,7:46,7/21/20,7:05,104,641092,4004249,3,5,2,270,32,11,115,RS,Potential,July
-7804,B12,C-15,4/15/20,15:13,4/19/20,14:41,63,642566,4002927,3,5,2,227,11,20,63,RS,Actual,April
-7809,B12,C-15,4/15/20,15:44,4/19/20,14:52,47,642546,4002930,3,5,3,230,39,25,47,RS,Random,April
-7810,B12,C-15,4/15/20,15:25,4/19/20,14:45,55,642555,4002923,3,5,2,208,19,19,55,RS,Potential,April
-7811,B16,C-15,4/30/20,9:42,5/5/20,9:31,62,642617,4002926,3,5,1.5,195,12,9,65,RS,Actual,April
-3417,B16,C-15,4/30/20,10:26,5/5/20,9:33,18,642620,4002922,3,5,2,324,10,6,33,RS,Random,April
-3418,B16,C-15,4/30/20,10:18,5/5/20,9:34,56,642620,4002934,3,5,2.5,179,16,11,58,RS,Potential,April
-7806,B17,C-25,4/28/20,10:36,4/31/20,12:22,61,643188,4003194,3,5,5,146,60,10,72,SC,Actual,April
-7649,B17,C-25,4/28/20,11:35,4/31/20,12:26,45,643140,4003198,3,5,3,227,58,30,55,RS,Random,April
-7653,B17,C-25,4/28/20,11:46,4/31/20,12:30,63,643093,4003223,3,5,5,156,51,8,64,SC,Potential,April
-7804,B20,C-20,5/5/20,10:21,5/8/20,11:22,67,642333,4002947,3,5,2,166,53,26,67,RS,Actual,April
-7809,B20,C-20,5/5/20,10:29,5/8/20,11:27,55,642332,4002947,3,5,2.5,178,39,36,66,RS,Random,April
-7810,B20,C-20,5/5/20,10:41,5/8/20,11:25,61,642345,4002904,3,5,2.5,182,44,22,74,RS,Potential,April
